"cluster_id_entity","usample","channel","depth_top_cm","depth_mid_cm","depth_bot_cm","thick_cm","age_mid_cal_yr_bp","age_top_cal_yr_bp","age_bot_cal_yr_bp","age_source","NAME","ELEMENT","size_min_um","size_max_um","size_min_open","size_max_open","UNITS","CONTEXT","context_source","TAPHONOMY","GROUP","value","value_orig","value_conversion","value_source_column","sample_quantity_value","sample_quantity_ELEMENT","sample_quantity_UNITS","data_source","data_entity","original_fire_proxy","original_meas_type","original_meas_detail","original_meas_method","original_proxy_class","original_quant_units","original_quant_units_raw","parsed_size_token","parsed_unit_token","depth_source","depth_repair_method","n_db_contrib","db_contrib","vocab_flags","entity_name","lat_dd_north","lon_dd_east","elev_m","hemisphere","country_entity","location_desc","depo_context","cluster_id","pubtypeid","year","citation","articletitle","journal","volume","issue","pages","citationnumber","doi","booktitle","numvolumes","edition","volumetitle","seriestitle","seriesvolume","publisher","url_pub","city","state","country","originallanguage","notes_pub","pub_source","cluster_id_contact","contactname","contactstatusid","familyname","leadinginitials","givennames","suffix","title","phone","fax","email","url","address","notes","contact_source","cluster_id_geo","db_geo","source_entity","date_id","depth_cm_geo","depth_orig_geo","depth_unit_geo","thick_cm_geo","date_type","material","age_14C","error","cal_age_geo","cal_curve","lab_number","included","exclude_reason","notes_geo","datasetname","controlled_units","controlled_element","X","X.1","X.2","age_geo","chroncontrol_limityounger","chroncontrol_limitolder","chroncontrol_age","chroncontrol_depth","chroncontrol_thickness","chroncontrol_comments","chronology_notes_full","controlled_dep","neotoma_geochrontype","neotoma_chroncontroltypes","ageboundyounger","ageboundolder","agetype","datasettype","datasetnotes_full","samplenotes_full"
"839",0,"charcoal | <100um num",NA,16,NA,NA,4,NA,NA,"RPDv1b","Charcoal (sum)","<100 µm",NA,100,"True","False","number","Microscopic charcoal (pollen slide)","direct",NA,"CHAR",6130,NA,NA,"quant_raw",0.6,"volume","cm^3","RPDv1b",1697,"charcoal","count","microchar","pollen_slide","particle","<100um num",NA,"<100um","num","RPDv1b","measured",1,"RPDv1b","ELEMENT=<100 µm","VdL PB2_100minus",37.057965,-8.074734,2.3,"north",NA,NA,"sedest",839,1,2010,"Schneider, H., Höfer, D., Trog, C., Busch, S., Schneider, M., Baade, J., Daut, G., Mäusbacher, R., 2010. Holocene estuary development in the Algarve Region (Southern Portugal) – A reconstruction of sedimentological and ecological evolution. Quaternary International 221, 141–158.","Holocene estuary development in the Algarve Region (Southern Portugal) - A reconstruction of sedimentological and ecological evolution","Quaternary International",221,NA,"141-158",NA,"10.1016/j.quaint.2009.10.004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:1697|RPDv1b:1698",839,"Schneider, H.",1,"Schneider","H.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:1697",839,"RPDv1b",1697,13653,90,0.9,"m",0.01,"AMS","charcoal",306,59,NA,NA,"Erl-9832",TRUE,NA,"-888888 Date is in uncalibrated radiocarbon years.","VdL PB2_100minus_POLLENSLIDE","counted","NaN-100",NA,NA,"",306,247,365,306,90,0.01,"-888888 Date is in uncalibrated radiocarbon years.",". Cal curve: NA. Source DB: RPDv1b","Estuarine","Carbon-14","Radiocarbon",4,8312,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: RPDv1b","Sample Age Source: RPDv1b"
"839",0,"charcoal | >100um num",NA,16,NA,NA,4,NA,NA,"RPDv1b","Charcoal (sum)",">100 µm",100,NA,"False","True","number","Microscopic charcoal (pollen slide)","direct",NA,"CHAR",18,NA,NA,"quant_raw",0.6,"volume","cm^3","RPDv1b",1698,"charcoal","count","unspec","pollen_slide","particle",">100um num",NA,">100um","num","RPDv1b","measured",1,"RPDv1b","ELEMENT=>100 µm","VdL PB2_100minus",37.057965,-8.074734,2.3,"north",NA,NA,"sedest",839,1,2010,"Schneider, H., Höfer, D., Trog, C., Busch, S., Schneider, M., Baade, J., Daut, G., Mäusbacher, R., 2010. Holocene estuary development in the Algarve Region (Southern Portugal) – A reconstruction of sedimentological and ecological evolution. Quaternary International 221, 141–158.","Holocene estuary development in the Algarve Region (Southern Portugal) - A reconstruction of sedimentological and ecological evolution","Quaternary International",221,NA,"141-158",NA,"10.1016/j.quaint.2009.10.004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:1697|RPDv1b:1698",839,"Schneider, H.",1,"Schneider","H.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:1697",839,"RPDv1b",1697,13653,90,0.9,"m",0.01,"AMS","charcoal",306,59,NA,NA,"Erl-9832",TRUE,NA,"-888888 Date is in uncalibrated radiocarbon years.","VdL PB2_100minus_POLLENSLIDE","counted","100-NaN",NA,NA,"",306,247,365,306,90,0.01,"-888888 Date is in uncalibrated radiocarbon years.",". Cal curve: NA. Source DB: RPDv1b","Estuarine","Carbon-14","Radiocarbon",4,8312,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: RPDv1b","Sample Age Source: RPDv1b"
"839",1,"charcoal | <100um num",NA,31,NA,NA,60,NA,NA,"RPDv1b","Charcoal (sum)","<100 µm",NA,100,"True","False","number","Microscopic charcoal (pollen slide)","direct",NA,"CHAR",4567,NA,NA,"quant_raw",0.6,"volume","cm^3","RPDv1b",1697,"charcoal","count","microchar","pollen_slide","particle","<100um num",NA,"<100um","num","RPDv1b","measured",1,"RPDv1b","ELEMENT=<100 µm","VdL PB2_100minus",37.057965,-8.074734,2.3,"north",NA,NA,"sedest",839,1,2010,"Schneider, H., Höfer, D., Trog, C., Busch, S., Schneider, M., Baade, J., Daut, G., Mäusbacher, R., 2010. Holocene estuary development in the Algarve Region (Southern Portugal) – A reconstruction of sedimentological and ecological evolution. Quaternary International 221, 141–158.","Holocene estuary development in the Algarve Region (Southern Portugal) - A reconstruction of sedimentological and ecological evolution","Quaternary International",221,NA,"141-158",NA,"10.1016/j.quaint.2009.10.004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:1697|RPDv1b:1698",839,"Schneider, H.",1,"Schneider","H.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:1697",839,"RPDv1b",1697,13653,90,0.9,"m",0.01,"AMS","charcoal",306,59,NA,NA,"Erl-9832",TRUE,NA,"-888888 Date is in uncalibrated radiocarbon years.","VdL PB2_100minus_POLLENSLIDE","counted","NaN-100",NA,NA,"",306,247,365,306,90,0.01,"-888888 Date is in uncalibrated radiocarbon years.",". Cal curve: NA. Source DB: RPDv1b","Estuarine","Carbon-14","Radiocarbon",4,8312,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: RPDv1b","Sample Age Source: RPDv1b"
"839",1,"charcoal | >100um num",NA,31,NA,NA,60,NA,NA,"RPDv1b","Charcoal (sum)",">100 µm",100,NA,"False","True","number","Microscopic charcoal (pollen slide)","direct",NA,"CHAR",18,NA,NA,"quant_raw",0.6,"volume","cm^3","RPDv1b",1698,"charcoal","count","unspec","pollen_slide","particle",">100um num",NA,">100um","num","RPDv1b","measured",1,"RPDv1b","ELEMENT=>100 µm","VdL PB2_100minus",37.057965,-8.074734,2.3,"north",NA,NA,"sedest",839,1,2010,"Schneider, H., Höfer, D., Trog, C., Busch, S., Schneider, M., Baade, J., Daut, G., Mäusbacher, R., 2010. Holocene estuary development in the Algarve Region (Southern Portugal) – A reconstruction of sedimentological and ecological evolution. Quaternary International 221, 141–158.","Holocene estuary development in the Algarve Region (Southern Portugal) - A reconstruction of sedimentological and ecological evolution","Quaternary International",221,NA,"141-158",NA,"10.1016/j.quaint.2009.10.004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:1697|RPDv1b:1698",839,"Schneider, H.",1,"Schneider","H.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:1697",839,"RPDv1b",1697,13653,90,0.9,"m",0.01,"AMS","charcoal",306,59,NA,NA,"Erl-9832",TRUE,NA,"-888888 Date is in uncalibrated radiocarbon years.","VdL PB2_100minus_POLLENSLIDE","counted","100-NaN",NA,NA,"",306,247,365,306,90,0.01,"-888888 Date is in uncalibrated radiocarbon years.",". Cal curve: NA. Source DB: RPDv1b","Estuarine","Carbon-14","Radiocarbon",4,8312,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: RPDv1b","Sample Age Source: RPDv1b"
"839",2,"charcoal | <100um num",NA,46,NA,NA,115,NA,NA,"RPDv1b","Charcoal (sum)","<100 µm",NA,100,"True","False","number","Microscopic charcoal (pollen slide)","direct",NA,"CHAR",12531,NA,NA,"quant_raw",0.6,"volume","cm^3","RPDv1b",1697,"charcoal","count","microchar","pollen_slide","particle","<100um num",NA,"<100um","num","RPDv1b","measured",1,"RPDv1b","ELEMENT=<100 µm","VdL PB2_100minus",37.057965,-8.074734,2.3,"north",NA,NA,"sedest",839,1,2010,"Schneider, H., Höfer, D., Trog, C., Busch, S., Schneider, M., Baade, J., Daut, G., Mäusbacher, R., 2010. Holocene estuary development in the Algarve Region (Southern Portugal) – A reconstruction of sedimentological and ecological evolution. Quaternary International 221, 141–158.","Holocene estuary development in the Algarve Region (Southern Portugal) - A reconstruction of sedimentological and ecological evolution","Quaternary International",221,NA,"141-158",NA,"10.1016/j.quaint.2009.10.004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:1697|RPDv1b:1698",839,"Schneider, H.",1,"Schneider","H.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:1697",839,"RPDv1b",1697,13653,90,0.9,"m",0.01,"AMS","charcoal",306,59,NA,NA,"Erl-9832",TRUE,NA,"-888888 Date is in uncalibrated radiocarbon years.","VdL PB2_100minus_POLLENSLIDE","counted","NaN-100",NA,NA,"",306,247,365,306,90,0.01,"-888888 Date is in uncalibrated radiocarbon years.",". Cal curve: NA. Source DB: RPDv1b","Estuarine","Carbon-14","Radiocarbon",4,8312,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: RPDv1b","Sample Age Source: RPDv1b"
"839",2,"charcoal | >100um num",NA,46,NA,NA,115,NA,NA,"RPDv1b","Charcoal (sum)",">100 µm",100,NA,"False","True","number","Microscopic charcoal (pollen slide)","direct",NA,"CHAR",28,NA,NA,"quant_raw",0.6,"volume","cm^3","RPDv1b",1698,"charcoal","count","unspec","pollen_slide","particle",">100um num",NA,">100um","num","RPDv1b","measured",1,"RPDv1b","ELEMENT=>100 µm","VdL PB2_100minus",37.057965,-8.074734,2.3,"north",NA,NA,"sedest",839,1,2010,"Schneider, H., Höfer, D., Trog, C., Busch, S., Schneider, M., Baade, J., Daut, G., Mäusbacher, R., 2010. Holocene estuary development in the Algarve Region (Southern Portugal) – A reconstruction of sedimentological and ecological evolution. Quaternary International 221, 141–158.","Holocene estuary development in the Algarve Region (Southern Portugal) - A reconstruction of sedimentological and ecological evolution","Quaternary International",221,NA,"141-158",NA,"10.1016/j.quaint.2009.10.004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:1697|RPDv1b:1698",839,"Schneider, H.",1,"Schneider","H.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:1697",839,"RPDv1b",1697,13653,90,0.9,"m",0.01,"AMS","charcoal",306,59,NA,NA,"Erl-9832",TRUE,NA,"-888888 Date is in uncalibrated radiocarbon years.","VdL PB2_100minus_POLLENSLIDE","counted","100-NaN",NA,NA,"",306,247,365,306,90,0.01,"-888888 Date is in uncalibrated radiocarbon years.",". Cal curve: NA. Source DB: RPDv1b","Estuarine","Carbon-14","Radiocarbon",4,8312,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: RPDv1b","Sample Age Source: RPDv1b"
"839",3,"charcoal | <100um num",NA,61,NA,NA,171,NA,NA,"RPDv1b","Charcoal (sum)","<100 µm",NA,100,"True","False","number","Microscopic charcoal (pollen slide)","direct",NA,"CHAR",6651,NA,NA,"quant_raw",0.6,"volume","cm^3","RPDv1b",1697,"charcoal","count","microchar","pollen_slide","particle","<100um num",NA,"<100um","num","RPDv1b","measured",1,"RPDv1b","ELEMENT=<100 µm","VdL PB2_100minus",37.057965,-8.074734,2.3,"north",NA,NA,"sedest",839,1,2010,"Schneider, H., Höfer, D., Trog, C., Busch, S., Schneider, M., Baade, J., Daut, G., Mäusbacher, R., 2010. Holocene estuary development in the Algarve Region (Southern Portugal) – A reconstruction of sedimentological and ecological evolution. Quaternary International 221, 141–158.","Holocene estuary development in the Algarve Region (Southern Portugal) - A reconstruction of sedimentological and ecological evolution","Quaternary International",221,NA,"141-158",NA,"10.1016/j.quaint.2009.10.004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:1697|RPDv1b:1698",839,"Schneider, H.",1,"Schneider","H.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:1697",839,"RPDv1b",1697,13653,90,0.9,"m",0.01,"AMS","charcoal",306,59,NA,NA,"Erl-9832",TRUE,NA,"-888888 Date is in uncalibrated radiocarbon years.","VdL PB2_100minus_POLLENSLIDE","counted","NaN-100",NA,NA,"",306,247,365,306,90,0.01,"-888888 Date is in uncalibrated radiocarbon years.",". Cal curve: NA. Source DB: RPDv1b","Estuarine","Carbon-14","Radiocarbon",4,8312,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: RPDv1b","Sample Age Source: RPDv1b"
"839",3,"charcoal | >100um num",NA,61,NA,NA,171,NA,NA,"RPDv1b","Charcoal (sum)",">100 µm",100,NA,"False","True","number","Microscopic charcoal (pollen slide)","direct",NA,"CHAR",30,NA,NA,"quant_raw",0.6,"volume","cm^3","RPDv1b",1698,"charcoal","count","unspec","pollen_slide","particle",">100um num",NA,">100um","num","RPDv1b","measured",1,"RPDv1b","ELEMENT=>100 µm","VdL PB2_100minus",37.057965,-8.074734,2.3,"north",NA,NA,"sedest",839,1,2010,"Schneider, H., Höfer, D., Trog, C., Busch, S., Schneider, M., Baade, J., Daut, G., Mäusbacher, R., 2010. Holocene estuary development in the Algarve Region (Southern Portugal) – A reconstruction of sedimentological and ecological evolution. Quaternary International 221, 141–158.","Holocene estuary development in the Algarve Region (Southern Portugal) - A reconstruction of sedimentological and ecological evolution","Quaternary International",221,NA,"141-158",NA,"10.1016/j.quaint.2009.10.004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:1697|RPDv1b:1698",839,"Schneider, H.",1,"Schneider","H.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:1697",839,"RPDv1b",1697,13654,144.75,1.4475,"m",0.025,"AMS","charcoal",160,40,NA,NA,"Beta-239918",TRUE,NA,"-888888 Date is in uncalibrated radiocarbon years.","VdL PB2_100minus_POLLENSLIDE","counted","100-NaN",NA,NA,"",160,120,200,160,144.75,0.025,"-888888 Date is in uncalibrated radiocarbon years.",". Cal curve: NA. Source DB: RPDv1b","Estuarine","Carbon-14","Radiocarbon",4,8312,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: RPDv1b","Sample Age Source: RPDv1b"
"839",4,"charcoal | <100um num",NA,76,NA,NA,227,NA,NA,"RPDv1b","Charcoal (sum)","<100 µm",NA,100,"True","False","number","Microscopic charcoal (pollen slide)","direct",NA,"CHAR",2829,NA,NA,"quant_raw",0.6,"volume","cm^3","RPDv1b",1697,"charcoal","count","microchar","pollen_slide","particle","<100um num",NA,"<100um","num","RPDv1b","measured",1,"RPDv1b","ELEMENT=<100 µm","VdL PB2_100minus",37.057965,-8.074734,2.3,"north",NA,NA,"sedest",839,1,2010,"Schneider, H., Höfer, D., Trog, C., Busch, S., Schneider, M., Baade, J., Daut, G., Mäusbacher, R., 2010. Holocene estuary development in the Algarve Region (Southern Portugal) – A reconstruction of sedimentological and ecological evolution. Quaternary International 221, 141–158.","Holocene estuary development in the Algarve Region (Southern Portugal) - A reconstruction of sedimentological and ecological evolution","Quaternary International",221,NA,"141-158",NA,"10.1016/j.quaint.2009.10.004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:1697|RPDv1b:1698",839,"Schneider, H.",1,"Schneider","H.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:1697",839,"RPDv1b",1697,13654,144.75,1.4475,"m",0.025,"AMS","charcoal",160,40,NA,NA,"Beta-239918",TRUE,NA,"-888888 Date is in uncalibrated radiocarbon years.","VdL PB2_100minus_POLLENSLIDE","counted","NaN-100",NA,NA,"",160,120,200,160,144.75,0.025,"-888888 Date is in uncalibrated radiocarbon years.",". Cal curve: NA. Source DB: RPDv1b","Estuarine","Carbon-14","Radiocarbon",4,8312,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: RPDv1b","Sample Age Source: RPDv1b"
"839",4,"charcoal | >100um num",NA,76,NA,NA,227,NA,NA,"RPDv1b","Charcoal (sum)",">100 µm",100,NA,"False","True","number","Microscopic charcoal (pollen slide)","direct",NA,"CHAR",4,NA,NA,"quant_raw",0.6,"volume","cm^3","RPDv1b",1698,"charcoal","count","unspec","pollen_slide","particle",">100um num",NA,">100um","num","RPDv1b","measured",1,"RPDv1b","ELEMENT=>100 µm","VdL PB2_100minus",37.057965,-8.074734,2.3,"north",NA,NA,"sedest",839,1,2010,"Schneider, H., Höfer, D., Trog, C., Busch, S., Schneider, M., Baade, J., Daut, G., Mäusbacher, R., 2010. Holocene estuary development in the Algarve Region (Southern Portugal) – A reconstruction of sedimentological and ecological evolution. Quaternary International 221, 141–158.","Holocene estuary development in the Algarve Region (Southern Portugal) - A reconstruction of sedimentological and ecological evolution","Quaternary International",221,NA,"141-158",NA,"10.1016/j.quaint.2009.10.004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:1697|RPDv1b:1698",839,"Schneider, H.",1,"Schneider","H.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:1697",839,"RPDv1b",1697,13654,144.75,1.4475,"m",0.025,"AMS","charcoal",160,40,NA,NA,"Beta-239918",TRUE,NA,"-888888 Date is in uncalibrated radiocarbon years.","VdL PB2_100minus_POLLENSLIDE","counted","100-NaN",NA,NA,"",160,120,200,160,144.75,0.025,"-888888 Date is in uncalibrated radiocarbon years.",". Cal curve: NA. Source DB: RPDv1b","Estuarine","Carbon-14","Radiocarbon",4,8312,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: RPDv1b","Sample Age Source: RPDv1b"
