"cluster_id_entity","usample","channel","depth_top_cm","depth_mid_cm","depth_bot_cm","thick_cm","age_mid_cal_yr_bp","age_top_cal_yr_bp","age_bot_cal_yr_bp","age_source","NAME","ELEMENT","size_min_um","size_max_um","size_min_open","size_max_open","UNITS","CONTEXT","context_source","TAPHONOMY","GROUP","value","value_orig","value_conversion","value_source_column","sample_quantity_value","sample_quantity_ELEMENT","sample_quantity_UNITS","data_source","data_entity","original_fire_proxy","original_meas_type","original_meas_detail","original_meas_method","original_proxy_class","original_quant_units","original_quant_units_raw","parsed_size_token","parsed_unit_token","depth_source","depth_repair_method","n_db_contrib","db_contrib","vocab_flags","entity_name","lat_dd_north","lon_dd_east","elev_m","hemisphere","country_entity","location_desc","depo_context","cluster_id","pubtypeid","year","citation","articletitle","journal","volume","issue","pages","citationnumber","doi","booktitle","numvolumes","edition","volumetitle","seriestitle","seriesvolume","publisher","url_pub","city","state","country","originallanguage","notes_pub","pub_source","cluster_id_contact","contactname","contactstatusid","familyname","leadinginitials","givennames","suffix","title","phone","fax","email","url","address","notes","contact_source","cluster_id_geo","db_geo","source_entity","date_id","depth_cm_geo","depth_orig_geo","depth_unit_geo","thick_cm_geo","date_type","material","age_14C","error","cal_age_geo","cal_curve","lab_number","included","exclude_reason","notes_geo","datasetname","controlled_units","controlled_element","X","X.1","X.2","age_geo","chroncontrol_limityounger","chroncontrol_limitolder","chroncontrol_age","chroncontrol_depth","chroncontrol_thickness","chroncontrol_comments","chronology_notes_full","controlled_dep","neotoma_geochrontype","neotoma_chroncontroltypes","ageboundyounger","ageboundolder","agetype","datasettype","datasetnotes_full","samplenotes_full"
"892",0,"charcoal | <40um num",4.5,5,5.5,1,NA,NA,NA,NA,"Charcoal (sum)","(additional options)",NA,40,"True","False","number","Microscopic charcoal (pollen slide)","direct",NA,"CHAR",546.6,NA,NA,"quant_raw",1,"volume","cm^3","RPDv1b",1774,"charcoal","count","microchar","pollen_slide","particle","<40um num",NA,"<40um","num","RPDv1b","measured",1,"RPDv1b",NA,"Novoalexandrovskoye core",55.12,41.04,113,"north",NA,NA,"sedswamp",892,1,2016,"Novenko, E.Y., Tsyganov, A.N., Volkova, E.M., Kupriyanov, D.A., Mironenko, I.V., Babeshko, K.V., Utkina, A.S., Popov, V., Mazei, Y.A., 2016. Mid-and Late Holocene vegetation dynamics and fire history in the boreal forest of European Russia: A case study from Meshchera Lowlands. Palaeogeography, Palaeoclimatology, Palaeoecology 459, 570–584.","Mid-and Late Holocene vegetation dynamics and fire history in the boreal forest of European Russia: A case study from Meshchera Lowlands","Palaeogeography, Palaeoclimatology, Palaeoecology",459,NA,"570-584",NA,"10.1016/j.palaeo.2016.08.004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:1774",892,"Novenko, E.Y.",1,"Novenko","E.Y.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:1774",892,"RPDv1b",1774,14375,27.5,0.275,"m",0.05,"Radiocarbon date","bulk sediment, peat",360,70,NA,NA,"IG RAS 4341",TRUE,NA,"NA Date is in uncalibrated radiocarbon years.","Novoalexandrovskoye core_POLLENSLIDE","counted","NaN-40",NA,NA,"",360,290,430,360,27.5,0.05,"NA Date is in uncalibrated radiocarbon years.",". Cal curve: NA. Source DB: RPDv1b","Swamp","Carbon-14","Radiocarbon",NA,NA,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: RPDv1b","Sample Age Source: NA"
"892",1,"charcoal | <40um num",8,9.5,11,3,NA,NA,NA,NA,"Charcoal (sum)","(additional options)",NA,40,"True","False","number","Microscopic charcoal (pollen slide)","direct",NA,"CHAR",5483.8,NA,NA,"quant_raw",1,"volume","cm^3","RPDv1b",1774,"charcoal","count","microchar","pollen_slide","particle","<40um num",NA,"<40um","num","RPDv1b","measured",1,"RPDv1b",NA,"Novoalexandrovskoye core",55.12,41.04,113,"north",NA,NA,"sedswamp",892,1,2016,"Novenko, E.Y., Tsyganov, A.N., Volkova, E.M., Kupriyanov, D.A., Mironenko, I.V., Babeshko, K.V., Utkina, A.S., Popov, V., Mazei, Y.A., 2016. Mid-and Late Holocene vegetation dynamics and fire history in the boreal forest of European Russia: A case study from Meshchera Lowlands. Palaeogeography, Palaeoclimatology, Palaeoecology 459, 570–584.","Mid-and Late Holocene vegetation dynamics and fire history in the boreal forest of European Russia: A case study from Meshchera Lowlands","Palaeogeography, Palaeoclimatology, Palaeoecology",459,NA,"570-584",NA,"10.1016/j.palaeo.2016.08.004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:1774",892,"Tsyganov, A.N.",1,"Tsyganov","A.N.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:1774",892,"RPDv1b",1774,14375,27.5,0.275,"m",0.05,"Radiocarbon date","bulk sediment, peat",360,70,NA,NA,"IG RAS 4341",TRUE,NA,"NA Date is in uncalibrated radiocarbon years.","Novoalexandrovskoye core_POLLENSLIDE","counted","NaN-40",NA,NA,"",360,290,430,360,27.5,0.05,"NA Date is in uncalibrated radiocarbon years.",". Cal curve: NA. Source DB: RPDv1b","Swamp","Carbon-14","Radiocarbon",NA,NA,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: RPDv1b","Sample Age Source: NA"
"892",2,"charcoal | <40um num",14,15,16,2,NA,NA,NA,NA,"Charcoal (sum)","(additional options)",NA,40,"True","False","number","Microscopic charcoal (pollen slide)","direct",NA,"CHAR",41504.3,NA,NA,"quant_raw",1,"volume","cm^3","RPDv1b",1774,"charcoal","count","microchar","pollen_slide","particle","<40um num",NA,"<40um","num","RPDv1b","measured",1,"RPDv1b",NA,"Novoalexandrovskoye core",55.12,41.04,113,"north",NA,NA,"sedswamp",892,1,2016,"Novenko, E.Y., Tsyganov, A.N., Volkova, E.M., Kupriyanov, D.A., Mironenko, I.V., Babeshko, K.V., Utkina, A.S., Popov, V., Mazei, Y.A., 2016. Mid-and Late Holocene vegetation dynamics and fire history in the boreal forest of European Russia: A case study from Meshchera Lowlands. Palaeogeography, Palaeoclimatology, Palaeoecology 459, 570–584.","Mid-and Late Holocene vegetation dynamics and fire history in the boreal forest of European Russia: A case study from Meshchera Lowlands","Palaeogeography, Palaeoclimatology, Palaeoecology",459,NA,"570-584",NA,"10.1016/j.palaeo.2016.08.004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:1774",892,"Volkova, E.M.",1,"Volkova","E.M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:1774",892,"RPDv1b",1774,14375,27.5,0.275,"m",0.05,"Radiocarbon date","bulk sediment, peat",360,70,NA,NA,"IG RAS 4341",TRUE,NA,"NA Date is in uncalibrated radiocarbon years.","Novoalexandrovskoye core_POLLENSLIDE","counted","NaN-40",NA,NA,"",360,290,430,360,27.5,0.05,"NA Date is in uncalibrated radiocarbon years.",". Cal curve: NA. Source DB: RPDv1b","Swamp","Carbon-14","Radiocarbon",NA,NA,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: RPDv1b","Sample Age Source: NA"
"892",3,"charcoal | <40um num",19,20,21,2,NA,NA,NA,NA,"Charcoal (sum)","(additional options)",NA,40,"True","False","number","Microscopic charcoal (pollen slide)","direct",NA,"CHAR",23135.2,NA,NA,"quant_raw",1,"volume","cm^3","RPDv1b",1774,"charcoal","count","microchar","pollen_slide","particle","<40um num",NA,"<40um","num","RPDv1b","measured",1,"RPDv1b",NA,"Novoalexandrovskoye core",55.12,41.04,113,"north",NA,NA,"sedswamp",892,1,2016,"Novenko, E.Y., Tsyganov, A.N., Volkova, E.M., Kupriyanov, D.A., Mironenko, I.V., Babeshko, K.V., Utkina, A.S., Popov, V., Mazei, Y.A., 2016. Mid-and Late Holocene vegetation dynamics and fire history in the boreal forest of European Russia: A case study from Meshchera Lowlands. Palaeogeography, Palaeoclimatology, Palaeoecology 459, 570–584.","Mid-and Late Holocene vegetation dynamics and fire history in the boreal forest of European Russia: A case study from Meshchera Lowlands","Palaeogeography, Palaeoclimatology, Palaeoecology",459,NA,"570-584",NA,"10.1016/j.palaeo.2016.08.004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:1774",892,"Kupriyanov, D.A.",1,"Kupriyanov","D.A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:1774",892,"RPDv1b",1774,14375,27.5,0.275,"m",0.05,"Radiocarbon date","bulk sediment, peat",360,70,NA,NA,"IG RAS 4341",TRUE,NA,"NA Date is in uncalibrated radiocarbon years.","Novoalexandrovskoye core_POLLENSLIDE","counted","NaN-40",NA,NA,"",360,290,430,360,27.5,0.05,"NA Date is in uncalibrated radiocarbon years.",". Cal curve: NA. Source DB: RPDv1b","Swamp","Carbon-14","Radiocarbon",NA,NA,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: RPDv1b","Sample Age Source: NA"
"892",4,"charcoal | <40um num",22,23,24,2,NA,NA,NA,NA,"Charcoal (sum)","(additional options)",NA,40,"True","False","number","Microscopic charcoal (pollen slide)","direct",NA,"CHAR",15858.3,NA,NA,"quant_raw",1,"volume","cm^3","RPDv1b",1774,"charcoal","count","microchar","pollen_slide","particle","<40um num",NA,"<40um","num","RPDv1b","measured",1,"RPDv1b",NA,"Novoalexandrovskoye core",55.12,41.04,113,"north",NA,NA,"sedswamp",892,1,2016,"Novenko, E.Y., Tsyganov, A.N., Volkova, E.M., Kupriyanov, D.A., Mironenko, I.V., Babeshko, K.V., Utkina, A.S., Popov, V., Mazei, Y.A., 2016. Mid-and Late Holocene vegetation dynamics and fire history in the boreal forest of European Russia: A case study from Meshchera Lowlands. Palaeogeography, Palaeoclimatology, Palaeoecology 459, 570–584.","Mid-and Late Holocene vegetation dynamics and fire history in the boreal forest of European Russia: A case study from Meshchera Lowlands","Palaeogeography, Palaeoclimatology, Palaeoecology",459,NA,"570-584",NA,"10.1016/j.palaeo.2016.08.004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:1774",892,"Mironenko, I.V.",1,"Mironenko","I.V.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:1774",892,"RPDv1b",1774,14375,27.5,0.275,"m",0.05,"Radiocarbon date","bulk sediment, peat",360,70,NA,NA,"IG RAS 4341",TRUE,NA,"NA Date is in uncalibrated radiocarbon years.","Novoalexandrovskoye core_POLLENSLIDE","counted","NaN-40",NA,NA,"",360,290,430,360,27.5,0.05,"NA Date is in uncalibrated radiocarbon years.",". Cal curve: NA. Source DB: RPDv1b","Swamp","Carbon-14","Radiocarbon",NA,NA,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: RPDv1b","Sample Age Source: NA"
"892",5,"charcoal | <40um num",26,27,28,2,NA,NA,NA,NA,"Charcoal (sum)","(additional options)",NA,40,"True","False","number","Microscopic charcoal (pollen slide)","direct",NA,"CHAR",13938,NA,NA,"quant_raw",1,"volume","cm^3","RPDv1b",1774,"charcoal","count","microchar","pollen_slide","particle","<40um num",NA,"<40um","num","RPDv1b","measured",1,"RPDv1b",NA,"Novoalexandrovskoye core",55.12,41.04,113,"north",NA,NA,"sedswamp",892,1,2016,"Novenko, E.Y., Tsyganov, A.N., Volkova, E.M., Kupriyanov, D.A., Mironenko, I.V., Babeshko, K.V., Utkina, A.S., Popov, V., Mazei, Y.A., 2016. Mid-and Late Holocene vegetation dynamics and fire history in the boreal forest of European Russia: A case study from Meshchera Lowlands. Palaeogeography, Palaeoclimatology, Palaeoecology 459, 570–584.","Mid-and Late Holocene vegetation dynamics and fire history in the boreal forest of European Russia: A case study from Meshchera Lowlands","Palaeogeography, Palaeoclimatology, Palaeoecology",459,NA,"570-584",NA,"10.1016/j.palaeo.2016.08.004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:1774",892,"Babeshko, K.V.",1,"Babeshko","K.V.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:1774",892,"RPDv1b",1774,14375,27.5,0.275,"m",0.05,"Radiocarbon date","bulk sediment, peat",360,70,NA,NA,"IG RAS 4341",TRUE,NA,"NA Date is in uncalibrated radiocarbon years.","Novoalexandrovskoye core_POLLENSLIDE","counted","NaN-40",NA,NA,"",360,290,430,360,27.5,0.05,"NA Date is in uncalibrated radiocarbon years.",". Cal curve: NA. Source DB: RPDv1b","Swamp","Carbon-14","Radiocarbon",NA,NA,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: RPDv1b","Sample Age Source: NA"
"892",6,"charcoal | <40um num",32,33,34,2,NA,NA,NA,NA,"Charcoal (sum)","(additional options)",NA,40,"True","False","number","Microscopic charcoal (pollen slide)","direct",NA,"CHAR",72942.2,NA,NA,"quant_raw",1,"volume","cm^3","RPDv1b",1774,"charcoal","count","microchar","pollen_slide","particle","<40um num",NA,"<40um","num","RPDv1b","measured",1,"RPDv1b",NA,"Novoalexandrovskoye core",55.12,41.04,113,"north",NA,NA,"sedswamp",892,1,2016,"Novenko, E.Y., Tsyganov, A.N., Volkova, E.M., Kupriyanov, D.A., Mironenko, I.V., Babeshko, K.V., Utkina, A.S., Popov, V., Mazei, Y.A., 2016. Mid-and Late Holocene vegetation dynamics and fire history in the boreal forest of European Russia: A case study from Meshchera Lowlands. Palaeogeography, Palaeoclimatology, Palaeoecology 459, 570–584.","Mid-and Late Holocene vegetation dynamics and fire history in the boreal forest of European Russia: A case study from Meshchera Lowlands","Palaeogeography, Palaeoclimatology, Palaeoecology",459,NA,"570-584",NA,"10.1016/j.palaeo.2016.08.004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:1774",892,"Utkina, A.S.",1,"Utkina","A.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:1774",892,"RPDv1b",1774,14375,27.5,0.275,"m",0.05,"Radiocarbon date","bulk sediment, peat",360,70,NA,NA,"IG RAS 4341",TRUE,NA,"NA Date is in uncalibrated radiocarbon years.","Novoalexandrovskoye core_POLLENSLIDE","counted","NaN-40",NA,NA,"",360,290,430,360,27.5,0.05,"NA Date is in uncalibrated radiocarbon years.",". Cal curve: NA. Source DB: RPDv1b","Swamp","Carbon-14","Radiocarbon",NA,NA,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: RPDv1b","Sample Age Source: NA"
"892",7,"charcoal | <40um num",36,37,38,2,NA,NA,NA,NA,"Charcoal (sum)","(additional options)",NA,40,"True","False","number","Microscopic charcoal (pollen slide)","direct",NA,"CHAR",31360.5,NA,NA,"quant_raw",1,"volume","cm^3","RPDv1b",1774,"charcoal","count","microchar","pollen_slide","particle","<40um num",NA,"<40um","num","RPDv1b","measured",1,"RPDv1b",NA,"Novoalexandrovskoye core",55.12,41.04,113,"north",NA,NA,"sedswamp",892,1,2016,"Novenko, E.Y., Tsyganov, A.N., Volkova, E.M., Kupriyanov, D.A., Mironenko, I.V., Babeshko, K.V., Utkina, A.S., Popov, V., Mazei, Y.A., 2016. Mid-and Late Holocene vegetation dynamics and fire history in the boreal forest of European Russia: A case study from Meshchera Lowlands. Palaeogeography, Palaeoclimatology, Palaeoecology 459, 570–584.","Mid-and Late Holocene vegetation dynamics and fire history in the boreal forest of European Russia: A case study from Meshchera Lowlands","Palaeogeography, Palaeoclimatology, Palaeoecology",459,NA,"570-584",NA,"10.1016/j.palaeo.2016.08.004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:1774",892,"Popov, V.",1,"Popov","V.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:1774",892,"RPDv1b",1774,14376,47.5,0.475,"m",0.05,"Radiocarbon date","bulk sediment, peat",1830,70,NA,NA,"IG RAS 4345",TRUE,NA,"NA Date is in uncalibrated radiocarbon years.","Novoalexandrovskoye core_POLLENSLIDE","counted","NaN-40",NA,NA,"",1830,1760,1900,1830,47.5,0.05,"NA Date is in uncalibrated radiocarbon years.",". Cal curve: NA. Source DB: RPDv1b","Swamp","Carbon-14","Radiocarbon",NA,NA,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: RPDv1b","Sample Age Source: NA"
"892",8,"charcoal | <40um num",39,40,41,2,NA,NA,NA,NA,"Charcoal (sum)","(additional options)",NA,40,"True","False","number","Microscopic charcoal (pollen slide)","direct",NA,"CHAR",52654.7,NA,NA,"quant_raw",1,"volume","cm^3","RPDv1b",1774,"charcoal","count","microchar","pollen_slide","particle","<40um num",NA,"<40um","num","RPDv1b","measured",1,"RPDv1b",NA,"Novoalexandrovskoye core",55.12,41.04,113,"north",NA,NA,"sedswamp",892,1,2016,"Novenko, E.Y., Tsyganov, A.N., Volkova, E.M., Kupriyanov, D.A., Mironenko, I.V., Babeshko, K.V., Utkina, A.S., Popov, V., Mazei, Y.A., 2016. Mid-and Late Holocene vegetation dynamics and fire history in the boreal forest of European Russia: A case study from Meshchera Lowlands. Palaeogeography, Palaeoclimatology, Palaeoecology 459, 570–584.","Mid-and Late Holocene vegetation dynamics and fire history in the boreal forest of European Russia: A case study from Meshchera Lowlands","Palaeogeography, Palaeoclimatology, Palaeoecology",459,NA,"570-584",NA,"10.1016/j.palaeo.2016.08.004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:1774",892,"Mazei, Y.A.",1,"Mazei","Y.A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:1774",892,"RPDv1b",1774,14376,47.5,0.475,"m",0.05,"Radiocarbon date","bulk sediment, peat",1830,70,NA,NA,"IG RAS 4345",TRUE,NA,"NA Date is in uncalibrated radiocarbon years.","Novoalexandrovskoye core_POLLENSLIDE","counted","NaN-40",NA,NA,"",1830,1760,1900,1830,47.5,0.05,"NA Date is in uncalibrated radiocarbon years.",". Cal curve: NA. Source DB: RPDv1b","Swamp","Carbon-14","Radiocarbon",NA,NA,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: RPDv1b","Sample Age Source: NA"
"892",9,"charcoal | <40um num",44,45,46,2,NA,NA,NA,NA,"Charcoal (sum)","(additional options)",NA,40,"True","False","number","Microscopic charcoal (pollen slide)","direct",NA,"CHAR",95243,NA,NA,"quant_raw",1,"volume","cm^3","RPDv1b",1774,"charcoal","count","microchar","pollen_slide","particle","<40um num",NA,"<40um","num","RPDv1b","measured",1,"RPDv1b",NA,"Novoalexandrovskoye core",55.12,41.04,113,"north",NA,NA,"sedswamp",892,1,2016,"Novenko, E.Y., Tsyganov, A.N., Volkova, E.M., Kupriyanov, D.A., Mironenko, I.V., Babeshko, K.V., Utkina, A.S., Popov, V., Mazei, Y.A., 2016. Mid-and Late Holocene vegetation dynamics and fire history in the boreal forest of European Russia: A case study from Meshchera Lowlands. Palaeogeography, Palaeoclimatology, Palaeoecology 459, 570–584.","Mid-and Late Holocene vegetation dynamics and fire history in the boreal forest of European Russia: A case study from Meshchera Lowlands","Palaeogeography, Palaeoclimatology, Palaeoecology",459,NA,"570-584",NA,"10.1016/j.palaeo.2016.08.004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:1774",892,"Feurdean, A.",1,"Feurdean","A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:1774",892,"RPDv1b",1774,14376,47.5,0.475,"m",0.05,"Radiocarbon date","bulk sediment, peat",1830,70,NA,NA,"IG RAS 4345",TRUE,NA,"NA Date is in uncalibrated radiocarbon years.","Novoalexandrovskoye core_POLLENSLIDE","counted","NaN-40",NA,NA,"",1830,1760,1900,1830,47.5,0.05,"NA Date is in uncalibrated radiocarbon years.",". Cal curve: NA. Source DB: RPDv1b","Swamp","Carbon-14","Radiocarbon",NA,NA,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: RPDv1b","Sample Age Source: NA"
"892",10,"charcoal | <40um num",49,50,51,2,NA,NA,NA,NA,"Charcoal (sum)","(additional options)",NA,40,"True","False","number","Microscopic charcoal (pollen slide)","direct",NA,"CHAR",43805.1,NA,NA,"quant_raw",1,"volume","cm^3","RPDv1b",1774,"charcoal","count","microchar","pollen_slide","particle","<40um num",NA,"<40um","num","RPDv1b","measured",1,"RPDv1b",NA,"Novoalexandrovskoye core",55.12,41.04,113,"north",NA,NA,"sedswamp",892,1,2016,"Novenko, E.Y., Tsyganov, A.N., Volkova, E.M., Kupriyanov, D.A., Mironenko, I.V., Babeshko, K.V., Utkina, A.S., Popov, V., Mazei, Y.A., 2016. Mid-and Late Holocene vegetation dynamics and fire history in the boreal forest of European Russia: A case study from Meshchera Lowlands. Palaeogeography, Palaeoclimatology, Palaeoecology 459, 570–584.","Mid-and Late Holocene vegetation dynamics and fire history in the boreal forest of European Russia: A case study from Meshchera Lowlands","Palaeogeography, Palaeoclimatology, Palaeoecology",459,NA,"570-584",NA,"10.1016/j.palaeo.2016.08.004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:1774",892,"Vannière, B.",1,"Vannière","B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:1774",892,"RPDv1b",1774,14376,47.5,0.475,"m",0.05,"Radiocarbon date","bulk sediment, peat",1830,70,NA,NA,"IG RAS 4345",TRUE,NA,"NA Date is in uncalibrated radiocarbon years.","Novoalexandrovskoye core_POLLENSLIDE","counted","NaN-40",NA,NA,"",1830,1760,1900,1830,47.5,0.05,"NA Date is in uncalibrated radiocarbon years.",". Cal curve: NA. Source DB: RPDv1b","Swamp","Carbon-14","Radiocarbon",NA,NA,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: RPDv1b","Sample Age Source: NA"
