"cluster_id_entity","usample","channel","depth_top_cm","depth_mid_cm","depth_bot_cm","thick_cm","age_mid_cal_yr_bp","age_top_cal_yr_bp","age_bot_cal_yr_bp","age_source","NAME","ELEMENT","size_min_um","size_max_um","size_min_open","size_max_open","UNITS","CONTEXT","context_source","TAPHONOMY","GROUP","value","value_orig","value_conversion","value_source_column","sample_quantity_value","sample_quantity_ELEMENT","sample_quantity_UNITS","data_source","data_entity","original_fire_proxy","original_meas_type","original_meas_detail","original_meas_method","original_proxy_class","original_quant_units","original_quant_units_raw","parsed_size_token","parsed_unit_token","depth_source","depth_repair_method","n_db_contrib","db_contrib","vocab_flags","entity_name","lat_dd_north","lon_dd_east","elev_m","hemisphere","country_entity","location_desc","depo_context","cluster_id","pubtypeid","year","citation","articletitle","journal","volume","issue","pages","citationnumber","doi","booktitle","numvolumes","edition","volumetitle","seriestitle","seriesvolume","publisher","url_pub","city","state","country","originallanguage","notes_pub","pub_source","cluster_id_contact","contactname","contactstatusid","familyname","leadinginitials","givennames","suffix","title","phone","fax","email","url","address","notes","contact_source","cluster_id_geo","db_geo","source_entity","date_id","depth_cm_geo","depth_orig_geo","depth_unit_geo","thick_cm_geo","date_type","material","age_14C","error","cal_age_geo","cal_curve","lab_number","included","exclude_reason","notes_geo","datasetname","controlled_units","controlled_element","X","X.1","X.2","age_geo","chroncontrol_limityounger","chroncontrol_limitolder","chroncontrol_age","chroncontrol_depth","chroncontrol_thickness","chroncontrol_comments","chronology_notes_full","controlled_dep","neotoma_geochrontype","neotoma_chroncontroltypes","ageboundyounger","ageboundolder","agetype","datasettype","datasetnotes_full","samplenotes_full"
"1448",0,"charcoal | num",NA,0,NA,NA,0,NA,NA,"RPDv1b","Charcoal (sum)","(additional options)",NA,NA,"False","False","number","Microscopic charcoal (pollen slide)","direct",NA,"CHAR",55,NA,NA,"quant_raw",1,"volume","cm^3","RPDv1b",2462,"charcoal","count","unspec","pollen_slide","particle","num",NA,"no_size","num","RPDv1b","measured",1,"RPDv1b",NA,"DESVERNE core",45.693333,6.8725,2276,"north",NA,NA,"sedlac",1448,0,2006,"Miras, Y., Millet, L., Guiter, F., Ponel, P., de Beaulieu, J.-L., Gozlar, T., 2006. Dynamique des écosystèmes et impact de l’homme dans le secteur du col du Petit Saint Bernard au cours de l’Holocène. pp. 31–50.","Dynamique des écosystèmes et impact de l’homme dans le secteur du col du Petit Saint Bernard au cours de l’Holocène. pp. 31-50.","",NA,NA,"",NA,"10013/epic.44366.d491",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:2462",1448,"Miras, Y.",1,"Miras","Y.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:2462",1448,"RPDv1b",2462,27516,94.5,0.945,"m",0.01,"Radiocarbon date","undifferentiated plant macrofossil",1890,40,NA,NA,"Poz-10372",TRUE,"","-888888 Date is in uncalibrated radiocarbon years.","DESVERNE core_POLLENSLIDE","counted","NaN-NaN",NA,NA,"",1890,1850,1930,1890,94.5,0.01,"-888888 Date is in uncalibrated radiocarbon years.",". Cal curve: NA. Source DB: RPDv1b","Lacustrine","Carbon-14","Radiocarbon",0,4285,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: RPDv1b","Sample Age Source: RPDv1b"
"1448",1,"charcoal | num",NA,7,NA,NA,140,NA,NA,"RPDv1b","Charcoal (sum)","(additional options)",NA,NA,"False","False","number","Microscopic charcoal (pollen slide)","direct",NA,"CHAR",80,NA,NA,"quant_raw",1,"volume","cm^3","RPDv1b",2462,"charcoal","count","unspec","pollen_slide","particle","num",NA,"no_size","num","RPDv1b","measured",1,"RPDv1b",NA,"DESVERNE core",45.693333,6.8725,2276,"north",NA,NA,"sedlac",1448,0,2006,"Miras, Y., Millet, L., Guiter, F., Ponel, P., de Beaulieu, J.-L., Gozlar, T., 2006. Dynamique des écosystèmes et impact de l’homme dans le secteur du col du Petit Saint Bernard au cours de l’Holocène. pp. 31–50.","Dynamique des écosystèmes et impact de l’homme dans le secteur du col du Petit Saint Bernard au cours de l’Holocène. pp. 31-50.","",NA,NA,"",NA,"10013/epic.44366.d491",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:2462",1448,"Miras, Y.",1,"Miras","Y.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:2462",1448,"RPDv1b",2462,27516,94.5,0.945,"m",0.01,"Radiocarbon date","undifferentiated plant macrofossil",1890,40,NA,NA,"Poz-10372",TRUE,"","-888888 Date is in uncalibrated radiocarbon years.","DESVERNE core_POLLENSLIDE","counted","NaN-NaN",NA,NA,"",1890,1850,1930,1890,94.5,0.01,"-888888 Date is in uncalibrated radiocarbon years.",". Cal curve: NA. Source DB: RPDv1b","Lacustrine","Carbon-14","Radiocarbon",0,4285,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: RPDv1b","Sample Age Source: RPDv1b"
"1448",2,"charcoal | num",NA,13,NA,NA,260,NA,NA,"RPDv1b","Charcoal (sum)","(additional options)",NA,NA,"False","False","number","Microscopic charcoal (pollen slide)","direct",NA,"CHAR",84,NA,NA,"quant_raw",1,"volume","cm^3","RPDv1b",2462,"charcoal","count","unspec","pollen_slide","particle","num",NA,"no_size","num","RPDv1b","measured",1,"RPDv1b",NA,"DESVERNE core",45.693333,6.8725,2276,"north",NA,NA,"sedlac",1448,0,2006,"Miras, Y., Millet, L., Guiter, F., Ponel, P., de Beaulieu, J.-L., Gozlar, T., 2006. Dynamique des écosystèmes et impact de l’homme dans le secteur du col du Petit Saint Bernard au cours de l’Holocène. pp. 31–50.","Dynamique des écosystèmes et impact de l’homme dans le secteur du col du Petit Saint Bernard au cours de l’Holocène. pp. 31-50.","",NA,NA,"",NA,"10013/epic.44366.d491",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:2462",1448,"Millet, L.",1,"Millet","L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:2462",1448,"RPDv1b",2462,27517,94.5,0.945,"m",0.01,"Radiocarbon date","bulk sediment, peat",4295,35,NA,NA,"Poz-9614",FALSE,"other","-888888 Date is in uncalibrated radiocarbon years.. Excluded from chroncontrols because other","DESVERNE core_POLLENSLIDE","counted","NaN-NaN",NA,NA,"",4295,NA,NA,NA,NA,NA,NA,". Cal curve: NA. Source DB: RPDv1b","Lacustrine","Carbon-14",NA,0,4285,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: RPDv1b","Sample Age Source: RPDv1b"
"1448",3,"charcoal | num",NA,90,NA,NA,1800,NA,NA,"RPDv1b","Charcoal (sum)","(additional options)",NA,NA,"False","False","number","Microscopic charcoal (pollen slide)","direct",NA,"CHAR",340,NA,NA,"quant_raw",1,"volume","cm^3","RPDv1b",2462,"charcoal","count","unspec","pollen_slide","particle","num",NA,"no_size","num","RPDv1b","measured",1,"RPDv1b",NA,"DESVERNE core",45.693333,6.8725,2276,"north",NA,NA,"sedlac",1448,0,2006,"Miras, Y., Millet, L., Guiter, F., Ponel, P., de Beaulieu, J.-L., Gozlar, T., 2006. Dynamique des écosystèmes et impact de l’homme dans le secteur du col du Petit Saint Bernard au cours de l’Holocène. pp. 31–50.","Dynamique des écosystèmes et impact de l’homme dans le secteur du col du Petit Saint Bernard au cours de l’Holocène. pp. 31-50.","",NA,NA,"",NA,"10013/epic.44366.d491",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:2462",1448,"Millet, L.",1,"Millet","L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:2462",1448,"RPDv1b",2462,27517,94.5,0.945,"m",0.01,"Radiocarbon date","bulk sediment, peat",4295,35,NA,NA,"Poz-9614",FALSE,"other","-888888 Date is in uncalibrated radiocarbon years.. Excluded from chroncontrols because other","DESVERNE core_POLLENSLIDE","counted","NaN-NaN",NA,NA,"",4295,NA,NA,NA,NA,NA,NA,". Cal curve: NA. Source DB: RPDv1b","Lacustrine","Carbon-14",NA,0,4285,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: RPDv1b","Sample Age Source: RPDv1b"
"1448",4,"charcoal | num",NA,92,NA,NA,1840,NA,NA,"RPDv1b","Charcoal (sum)","(additional options)",NA,NA,"False","False","number","Microscopic charcoal (pollen slide)","direct",NA,"CHAR",396,NA,NA,"quant_raw",1,"volume","cm^3","RPDv1b",2462,"charcoal","count","unspec","pollen_slide","particle","num",NA,"no_size","num","RPDv1b","measured",1,"RPDv1b",NA,"DESVERNE core",45.693333,6.8725,2276,"north",NA,NA,"sedlac",1448,0,2006,"Miras, Y., Millet, L., Guiter, F., Ponel, P., de Beaulieu, J.-L., Gozlar, T., 2006. Dynamique des écosystèmes et impact de l’homme dans le secteur du col du Petit Saint Bernard au cours de l’Holocène. pp. 31–50.","Dynamique des écosystèmes et impact de l’homme dans le secteur du col du Petit Saint Bernard au cours de l’Holocène. pp. 31-50.","",NA,NA,"",NA,"10013/epic.44366.d491",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:2462",1448,"Guiter, F.",1,"Guiter","F.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:2462",1448,"RPDv1b",2462,27518,119,1.19,"m",0.02,"Radiocarbon date","bulk sediment, peat",5890,40,NA,NA,"Poz-9650",FALSE,"other","-888888 Date is in uncalibrated radiocarbon years.. Excluded from chroncontrols because other","DESVERNE core_POLLENSLIDE","counted","NaN-NaN",NA,NA,"",5890,NA,NA,NA,NA,NA,NA,". Cal curve: NA. Source DB: RPDv1b","Lacustrine","Carbon-14",NA,0,4285,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: RPDv1b","Sample Age Source: RPDv1b"
"1448",5,"charcoal | num",NA,95,NA,NA,1922,NA,NA,"RPDv1b","Charcoal (sum)","(additional options)",NA,NA,"False","False","number","Microscopic charcoal (pollen slide)","direct",NA,"CHAR",624,NA,NA,"quant_raw",1,"volume","cm^3","RPDv1b",2462,"charcoal","count","unspec","pollen_slide","particle","num",NA,"no_size","num","RPDv1b","measured",1,"RPDv1b",NA,"DESVERNE core",45.693333,6.8725,2276,"north",NA,NA,"sedlac",1448,0,2006,"Miras, Y., Millet, L., Guiter, F., Ponel, P., de Beaulieu, J.-L., Gozlar, T., 2006. Dynamique des écosystèmes et impact de l’homme dans le secteur du col du Petit Saint Bernard au cours de l’Holocène. pp. 31–50.","Dynamique des écosystèmes et impact de l’homme dans le secteur du col du Petit Saint Bernard au cours de l’Holocène. pp. 31-50.","",NA,NA,"",NA,"10013/epic.44366.d491",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:2462",1448,"Guiter, F.",1,"Guiter","F.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:2462",1448,"RPDv1b",2462,27518,119,1.19,"m",0.02,"Radiocarbon date","bulk sediment, peat",5890,40,NA,NA,"Poz-9650",FALSE,"other","-888888 Date is in uncalibrated radiocarbon years.. Excluded from chroncontrols because other","DESVERNE core_POLLENSLIDE","counted","NaN-NaN",NA,NA,"",5890,NA,NA,NA,NA,NA,NA,". Cal curve: NA. Source DB: RPDv1b","Lacustrine","Carbon-14",NA,0,4285,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: RPDv1b","Sample Age Source: RPDv1b"
"1448",6,"charcoal | num",NA,97,NA,NA,2049,NA,NA,"RPDv1b","Charcoal (sum)","(additional options)",NA,NA,"False","False","number","Microscopic charcoal (pollen slide)","direct",NA,"CHAR",490,NA,NA,"quant_raw",1,"volume","cm^3","RPDv1b",2462,"charcoal","count","unspec","pollen_slide","particle","num",NA,"no_size","num","RPDv1b","measured",1,"RPDv1b",NA,"DESVERNE core",45.693333,6.8725,2276,"north",NA,NA,"sedlac",1448,0,2006,"Miras, Y., Millet, L., Guiter, F., Ponel, P., de Beaulieu, J.-L., Gozlar, T., 2006. Dynamique des écosystèmes et impact de l’homme dans le secteur du col du Petit Saint Bernard au cours de l’Holocène. pp. 31–50.","Dynamique des écosystèmes et impact de l’homme dans le secteur du col du Petit Saint Bernard au cours de l’Holocène. pp. 31-50.","",NA,NA,"",NA,"10013/epic.44366.d491",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:2462",1448,"Ponel, P.",1,"Ponel","P.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:2462",1448,"RPDv1b",2462,27519,124,1.24,"m",0.02,"Radiocarbon date","bulk sediment, peat",6640,40,NA,NA,"Poz-9651",FALSE,"other","-888888 Date is in uncalibrated radiocarbon years.. Excluded from chroncontrols because other","DESVERNE core_POLLENSLIDE","counted","NaN-NaN",NA,NA,"",6640,NA,NA,NA,NA,NA,NA,". Cal curve: NA. Source DB: RPDv1b","Lacustrine","Carbon-14",NA,0,4285,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: RPDv1b","Sample Age Source: RPDv1b"
"1448",7,"charcoal | num",NA,100,NA,NA,2241,NA,NA,"RPDv1b","Charcoal (sum)","(additional options)",NA,NA,"False","False","number","Microscopic charcoal (pollen slide)","direct",NA,"CHAR",594,NA,NA,"quant_raw",1,"volume","cm^3","RPDv1b",2462,"charcoal","count","unspec","pollen_slide","particle","num",NA,"no_size","num","RPDv1b","measured",1,"RPDv1b",NA,"DESVERNE core",45.693333,6.8725,2276,"north",NA,NA,"sedlac",1448,0,2006,"Miras, Y., Millet, L., Guiter, F., Ponel, P., de Beaulieu, J.-L., Gozlar, T., 2006. Dynamique des écosystèmes et impact de l’homme dans le secteur du col du Petit Saint Bernard au cours de l’Holocène. pp. 31–50.","Dynamique des écosystèmes et impact de l’homme dans le secteur du col du Petit Saint Bernard au cours de l’Holocène. pp. 31-50.","",NA,NA,"",NA,"10013/epic.44366.d491",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:2462",1448,"Ponel, P.",1,"Ponel","P.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:2462",1448,"RPDv1b",2462,27519,124,1.24,"m",0.02,"Radiocarbon date","bulk sediment, peat",6640,40,NA,NA,"Poz-9651",FALSE,"other","-888888 Date is in uncalibrated radiocarbon years.. Excluded from chroncontrols because other","DESVERNE core_POLLENSLIDE","counted","NaN-NaN",NA,NA,"",6640,NA,NA,NA,NA,NA,NA,". Cal curve: NA. Source DB: RPDv1b","Lacustrine","Carbon-14",NA,0,4285,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: RPDv1b","Sample Age Source: RPDv1b"
"1448",8,"charcoal | num",NA,102,NA,NA,2368,NA,NA,"RPDv1b","Charcoal (sum)","(additional options)",NA,NA,"False","False","number","Microscopic charcoal (pollen slide)","direct",NA,"CHAR",324,NA,NA,"quant_raw",1,"volume","cm^3","RPDv1b",2462,"charcoal","count","unspec","pollen_slide","particle","num",NA,"no_size","num","RPDv1b","measured",1,"RPDv1b",NA,"DESVERNE core",45.693333,6.8725,2276,"north",NA,NA,"sedlac",1448,0,2006,"Miras, Y., Millet, L., Guiter, F., Ponel, P., de Beaulieu, J.-L., Gozlar, T., 2006. Dynamique des écosystèmes et impact de l’homme dans le secteur du col du Petit Saint Bernard au cours de l’Holocène. pp. 31–50.","Dynamique des écosystèmes et impact de l’homme dans le secteur du col du Petit Saint Bernard au cours de l’Holocène. pp. 31-50.","",NA,NA,"",NA,"10013/epic.44366.d491",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:2462",1448,"Beaulieu, J.-L.",1,"Beaulieu","J.-L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:2462",1448,"RPDv1b",2462,27520,131.5,1.315,"m",0.01,"Radiocarbon date","bulk sediment, peat",4250,35,NA,NA,"Poz-9655",TRUE,"","-888888 Date is in uncalibrated radiocarbon years.","DESVERNE core_POLLENSLIDE","counted","NaN-NaN",NA,NA,"",4250,4215,4285,4250,131.5,0.01,"-888888 Date is in uncalibrated radiocarbon years.",". Cal curve: NA. Source DB: RPDv1b","Lacustrine","Carbon-14","Radiocarbon",0,4285,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: RPDv1b","Sample Age Source: RPDv1b"
"1448",9,"charcoal | num",NA,105,NA,NA,2560,NA,NA,"RPDv1b","Charcoal (sum)","(additional options)",NA,NA,"False","False","number","Microscopic charcoal (pollen slide)","direct",NA,"CHAR",847,NA,NA,"quant_raw",1,"volume","cm^3","RPDv1b",2462,"charcoal","count","unspec","pollen_slide","particle","num",NA,"no_size","num","RPDv1b","measured",1,"RPDv1b",NA,"DESVERNE core",45.693333,6.8725,2276,"north",NA,NA,"sedlac",1448,1,2008,"Millet, L., Ortu, E., Miras, Y., Heiri, O., Magny, M., de Beaulieu, J.-L., 2008. Les assemblages de Chironomidae et les cortèges polliniques, outils de reconstitutions quantitatives des changements du climat holocène: une approche croisée au Col du Petit St Bernard, lac «Dessus-Vernes» 2280 m – Quantitative reconstruction of Holocene climate from Chironomid and pollen assemblages, Lake Dessus-Verney (Col du Petit St Bernard, 2280 m a.s.l) as a case study. Collection EDYTEM. Cahiers de géographie 6, 65–76.","Les assemblages de Chironomidae et les cortèges polliniques, outils de reconstitutions quantitatives des changements du climat holocène: une approche croisée au Col du Petit St Bernard, lac «Dessus-Vernes» 2280 m - Quantitative reconstruction of Holocene climate from Chironomid and pollen assemblages, Lake Dessus-Verney (Col du Petit St Bernard, 2280 m a.s.l) as a case study","Collection EDYTEM. Cahiers de géographie",6,NA,"65-76",NA,"10.3406/edyte.2008.1029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:2462",1448,"Beaulieu, J.-L.",1,"Beaulieu","J.-L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:2462",1448,"RPDv1b",2462,27520,131.5,1.315,"m",0.01,"Radiocarbon date","bulk sediment, peat",4250,35,NA,NA,"Poz-9655",TRUE,"","-888888 Date is in uncalibrated radiocarbon years.","DESVERNE core_POLLENSLIDE","counted","NaN-NaN",NA,NA,"",4250,4215,4285,4250,131.5,0.01,"-888888 Date is in uncalibrated radiocarbon years.",". Cal curve: NA. Source DB: RPDv1b","Lacustrine","Carbon-14","Radiocarbon",0,4285,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: RPDv1b","Sample Age Source: RPDv1b"
"1448",10,"charcoal | num",NA,107,NA,NA,2687,NA,NA,"RPDv1b","Charcoal (sum)","(additional options)",NA,NA,"False","False","number","Microscopic charcoal (pollen slide)","direct",NA,"CHAR",846,NA,NA,"quant_raw",1,"volume","cm^3","RPDv1b",2462,"charcoal","count","unspec","pollen_slide","particle","num",NA,"no_size","num","RPDv1b","measured",1,"RPDv1b",NA,"DESVERNE core",45.693333,6.8725,2276,"north",NA,NA,"sedlac",1448,1,2008,"Millet, L., Ortu, E., Miras, Y., Heiri, O., Magny, M., de Beaulieu, J.-L., 2008. Les assemblages de Chironomidae et les cortèges polliniques, outils de reconstitutions quantitatives des changements du climat holocène: une approche croisée au Col du Petit St Bernard, lac «Dessus-Vernes» 2280 m – Quantitative reconstruction of Holocene climate from Chironomid and pollen assemblages, Lake Dessus-Verney (Col du Petit St Bernard, 2280 m a.s.l) as a case study. Collection EDYTEM. Cahiers de géographie 6, 65–76.","Les assemblages de Chironomidae et les cortèges polliniques, outils de reconstitutions quantitatives des changements du climat holocène: une approche croisée au Col du Petit St Bernard, lac «Dessus-Vernes» 2280 m - Quantitative reconstruction of Holocene climate from Chironomid and pollen assemblages, Lake Dessus-Verney (Col du Petit St Bernard, 2280 m a.s.l) as a case study","Collection EDYTEM. Cahiers de géographie",6,NA,"65-76",NA,"10.3406/edyte.2008.1029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:2462",1448,"Gozlar, T.",1,"Gozlar","T.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPDv1b:2462",1448,"RPDv1b",2462,27521,143,1.43,"m",0.06,"Radiocarbon date","bulk sediment, peat",8760,50,NA,NA,"Poz-9652",FALSE,"other","-888888 Date is in uncalibrated radiocarbon years.. Excluded from chroncontrols because other","DESVERNE core_POLLENSLIDE","counted","NaN-NaN",NA,NA,"",8760,NA,NA,NA,NA,NA,NA,". Cal curve: NA. Source DB: RPDv1b","Lacustrine","Carbon-14",NA,0,4285,"Calibrated radiocarbon years BP","sedimentary charcoal","Data Sourcing: RPDv1b","Sample Age Source: RPDv1b"
